acceleration,cylinders,displacement,horsepower,id,model year,mpg,origin,weight,car0
18.0,4,112.0,88.0,182,82,34.0,1,2395.0,20.28148148148148
14.0,4,122.0,86.0,183,71,23.0,1,2220.0,19.216666666666665
19.2,4,85.0,65.0,184,79,31.8,3,2020.0,30.571428571428573
14.2,4,90.0,70.0,185,76,29.0,2,1937.0,36.45
18.1,4,140.0,88.0,187,80,26.4,1,2870.0,20.23
15.5,4,122.0,96.0,188,77,25.5,1,2300.0,25.315384615384612
16.7,6,200.0,85.0,189,78,20.8,1,3070.0,19.216666666666665
16.2,4,98.0,65.0,192,81,34.4,1,2045.0,20.23
13.2,8,351.0,138.0,193,79,16.5,1,3955.0,19.216666666666665
15.0,4,120.0,97.0,195,74,24.0,3,2489.0,33.06666666666666
14.1,4,97.0,78.0,197,77,30.5,2,2190.0,30.110000000000003
14.9,4,105.0,70.0,201,79,34.5,1,2150.0,25.315384615384612
14.0,8,318.0,150.0,202,72,14.0,1,4077.0,25.315384615384612
19.4,4,85.0,65.0,203,81,37.0,3,1975.0,30.571428571428573
15.3,4,89.0,62.0,204,80,29.8,2,1845.0,29.8
20.5,4,91.0,70.0,205,71,26.0,1,1955.0,25.315384615384612
19.5,4,140.0,90.0,207,72,20.0,1,2408.0,20.28148148148148
15.1,6,258.0,120.0,208,78,18.1,1,3410.0,18.375
16.5,4,76.0,52.0,209,74,31.0,3,1649.0,30.13076923076923
13.7,8,318.0,145.0,211,77,15.5,1,4140.0,22.144444444444446
15.5,4,121.0,112.0,213,73,19.0,2,2868.0,18.5
16.0,6,250.0,105.0,217,75,18.0,1,3459.0,20.28148148148148
16.0,4,151.0,90.0,222,79,28.4,1,2670.0,20.6375
14.5,4,97.0,78.0,226,74,26.0,2,2300.0,26.333333333333332
15.8,6,231.0,105.0,227,78,20.6,1,3380.0,20.6375
17.7,6,225.0,100.0,228,76,20.0,1,3651.0,22.144444444444446
15.8,4,100.0,,234,81,34.5,2,2320.0,33.800000000000004
14.5,6,146.0,97.0,237,77,22.0,3,2815.0,30.571428571428573
21.8,4,146.0,67.0,239,80,30.0,2,3250.0,23.25
17.8,6,258.0,95.0,240,76,17.5,1,3193.0,18.375
16.8,4,85.0,70.0,242,77,33.5,3,1945.0,30.571428571428573
13.5,8,350.0,160.0,243,72,12.0,1,4456.0,21.225
15.5,4,90.0,75.0,244,74,24.0,2,2108.0,27.75
13.2,8,318.0,150.0,247,76,13.0,1,3940.0,25.315384615384612
19.5,4,140.0,72.0,248,73,21.0,1,2401.0,20.28148148148148
14.2,4,105.0,74.0,249,81,33.0,2,2190.0,30.110000000000003
14.7,4,98.0,76.0,251,80,41.5,2,2144.0,36.45
23.5,4,97.0,54.0,252,72,23.0,2,2254.0,30.110000000000003
14.5,8,351.0,149.0,255,77,16.0,1,4335.0,20.23
14.5,4,121.0,112.0,256,72,18.0,2,2933.0,18.5
15.1,4,122.0,88.0,257,80,35.0,2,2500.0,35.0
21.0,6,231.0,110.0,258,75,17.0,1,3907.0,20.6375
12.6,6,173.0,110.0,262,81,23.5,1,2725.0,20.28148148148148
11.2,8,302.0,139.0,264,78,18.1,1,3205.0,20.23
16.0,4,79.0,67.0,265,74,31.0,2,2000.0,27.75
13.0,8,350.0,145.0,266,73,15.0,1,4082.0,20.28148148148148
13.4,8,302.0,129.0,267,79,17.6,1,3725.0,20.23
17.0,4,98.0,63.0,268,77,30.5,1,2051.0,20.28148148148148
19.9,5,121.0,67.0,270,80,36.4,2,2950.0,35.349999999999994
13.5,6,156.0,122.0,272,73,20.0,3,2807.0,30.13076923076923
14.4,4,156.0,92.0,273,81,25.8,1,2620.0,22.144444444444446
18.7,6,225.0,90.0,275,80,19.1,1,3381.0,22.144444444444446
13.5,8,262.0,110.0,276,75,20.0,1,3221.0,20.28148148148148
14.9,4,105.0,63.0,277,81,34.7,1,2215.0,25.315384615384612
15.0,8,307.0,200.0,278,70,10.0,1,4376.0,20.5
13.5,4,134.0,96.0,279,75,24.0,3,2702.0,30.13076923076923
13.2,4,105.0,70.0,283,79,34.2,1,2200.0,25.315384615384612
20.5,4,97.0,46.0,285,70,26.0,2,1835.0,30.110000000000003
17.3,4,85.0,,288,80,40.9,2,1835.0,33.800000000000004
16.5,4,151.0,90.0,290,80,28.0,1,2678.0,20.28148148148148
15.0,6,231.0,110.0,291,75,21.0,1,3039.0,20.6375
13.7,8,318.0,140.0,292,78,17.5,1,4080.0,22.144444444444446
15.4,6,225.0,100.0,297,76,22.0,1,3233.0,25.315384615384612
15.0,6,232.0,100.0,300,73,18.0,1,2789.0,18.375
13.5,8,351.0,153.0,301,71,14.0,1,4154.0,20.23
15.8,4,140.0,89.0,305,77,25.5,1,2755.0,20.23
13.5,8,350.0,155.0,306,72,13.0,1,4502.0,20.6375
17.0,4,97.0,92.0,307,72,28.0,3,2288.0,30.571428571428573
19.0,4,71.0,65.0,311,71,31.0,3,1773.0,30.13076923076923
15.8,6,231.0,110.0,313,81,22.4,1,3415.0,20.6375
14.9,4,119.0,97.0,314,78,23.9,3,2405.0,30.571428571428573
19.0,4,83.0,61.0,315,74,32.0,3,2003.0,30.571428571428573
14.5,6,250.0,88.0,316,71,18.0,1,3139.0,20.23
11.6,4,135.0,84.0,318,82,32.0,1,2295.0,22.144444444444446
13.9,4,144.0,96.0,321,82,32.0,3,2665.0,30.13076923076923
16.0,6,232.0,100.0,323,75,20.0,1,2914.0,18.375
11.5,8,383.0,180.0,325,71,12.0,1,4955.0,22.144444444444446
18.7,6,225.0,110.0,329,78,18.6,1,3620.0,22.144444444444446
15.0,8,302.0,130.0,333,76,13.0,1,3870.0,20.23
13.6,4,140.0,72.0,335,76,26.5,1,2565.0,20.23
17.5,4,104.0,95.0,336,70,25.0,2,2375.0,24.5
15.5,4,140.0,90.0,337,71,28.0,1,2264.0,20.28148148148148
16.6,4,98.0,68.0,338,78,29.5,3,2135.0,33.06666666666666
8.5,8,440.0,215.0,339,70,14.0,1,4312.0,25.315384615384612
13.5,3,80.0,110.0,340,77,21.5,3,2720.0,28.53333333333333
19.4,4,78.0,52.0,343,78,32.8,3,1985.0,28.53333333333333
14.4,4,107.0,75.0,344,81,33.7,3,2210.0,33.06666666666666
8.5,8,390.0,190.0,345,70,15.0,1,3850.0,18.375
19.0,4,98.0,,349,71,25.0,1,2046.0,20.23
15.5,4,134.0,90.0,351,80,29.8,3,2711.0,30.13076923076923
22.2,8,260.0,90.0,353,79,23.9,1,3420.0,21.225
13.2,8,318.0,140.0,354,78,19.4,1,3735.0,22.144444444444446
15.4,4,140.0,88.0,355,78,25.1,1,2720.0,20.23
18.0,4,72.0,69.0,359,71,35.0,3,1613.0,30.571428571428573
15.4,6,231.0,115.0,360,79,21.5,1,3245.0,23.1
12.5,8,305.0,145.0,364,77,17.5,1,3880.0,20.28148148148148
13.4,6,231.0,165.0,366,78,17.7,1,3445.0,20.6375
14.0,8,400.0,150.0,367,73,11.0,1,4997.0,20.28148148148148
15.5,6,232.0,100.0,368,71,18.0,1,3288.0,18.375
17.3,4,151.0,90.0,370,82,27.0,1,2950.0,20.28148148148148
13.5,8,318.0,150.0,373,72,15.0,1,4135.0,25.315384615384612
15.5,4,113.0,95.0,375,72,24.0,3,2278.0,30.13076923076923
15.3,4,105.0,74.0,377,82,36.0,2,1980.0,30.110000000000003
15.0,4,121.0,80.0,380,79,27.4,1,2670.0,18.375
15.5,6,199.0,97.0,381,70,18.0,1,2774.0,18.375
12.0,8,400.0,150.0,382,73,13.0,1,4464.0,20.28148148148148
13.0,6,232.0,100.0,383,71,19.0,1,2634.0,18.375
19.2,4,85.0,65.0,384,80,40.8,3,2110.0,30.571428571428573
12.8,8,302.0,139.0,385,78,20.2,1,3570.0,19.216666666666665
12.0,8,304.0,150.0,387,70,16.0,1,3433.0,18.375
23.7,4,90.0,48.0,395,80,43.4,2,2335.0,36.45
15.5,4,98.0,90.0,396,73,26.0,2,2265.0,27.75
19.6,6,145.0,76.0,1,81,,2,3160.0,18.5
19.0,6,250.0,98.0,2,77,,1,3525.0,20.23
15.0,4,119.0,92.0,4,80,,3,2434.0,30.571428571428573
13.5,6,258.0,110.0,5,71,,1,2962.0,18.375
16.5,4,97.0,88.0,6,72,,3,2100.0,30.13076923076923
14.5,4,107.0,90.0,7,70,,2,2430.0,35.349999999999994
13.0,8,318.0,150.0,8,76,,1,4190.0,22.144444444444446
16.9,6,231.0,105.0,10,77,,1,3425.0,20.6375
16.0,4,151.0,88.0,12,77,,1,2740.0,23.1
17.2,6,232.0,90.0,14,78,,1,3210.0,18.375
12.5,8,400.0,190.0,15,72,,1,4422.0,
18.2,4,97.0,75.0,17,77,,3,2265.0,30.13076923076923
12.0,8,400.0,175.0,20,72,,1,4385.0,23.1
15.2,4,108.0,75.0,21,80,,3,2265.0,30.13076923076923
20.7,4,98.0,65.0,22,81,,1,2380.0,20.23
14.0,8,318.0,150.0,26,76,,1,3755.0,22.144444444444446
17.5,4,110.0,87.0,27,70,,2,2672.0,25.55
20.1,5,183.0,77.0,29,79,,2,3530.0,
16.0,8,302.0,140.0,30,72,,1,4294.0,20.23
19.0,4,79.0,67.0,33,74,,3,1950.0,30.571428571428573
15.5,4,116.0,75.0,34,73,,2,2158.0,26.333333333333332
21.7,4,90.0,48.0,37,80,,2,2085.0,36.45
11.0,8,318.0,150.0,45,73,,1,3399.0,22.144444444444446
12.0,8,400.0,170.0,46,71,,1,4746.0,20.23
14.9,8,350.0,155.0,49,79,,1,4360.0,20.6375
11.5,8,400.0,175.0,51,71,,1,4464.0,23.1
15.5,8,304.0,150.0,52,74,,1,4257.0,18.375
15.0,6,199.0,90.0,54,70,,1,2648.0,18.375
16.4,4,151.0,84.0,55,81,,1,2635.0,20.6375
14.0,4,90.0,70.0,56,75,,2,1937.0,30.110000000000003
16.4,4,91.0,60.0,59,78,,3,1800.0,33.06666666666666
15.5,6,198.0,95.0,60,70,,1,2833.0,25.315384615384612
15.0,4,91.0,67.0,61,82,,3,1965.0,33.06666666666666
11.0,8,440.0,215.0,63,73,,1,4735.0,
16.0,6,198.0,95.0,64,73,,1,2904.0,25.315384615384612
18.6,4,112.0,88.0,65,82,,1,2640.0,20.28148148148148
18.6,4,85.0,70.0,66,78,,3,2070.0,30.571428571428573
16.0,6,225.0,95.0,68,75,,1,3264.0,25.315384615384612
13.2,4,151.0,90.0,73,79,,1,2556.0,23.1
24.6,4,97.0,52.0,74,82,,2,2130.0,36.45
12.5,8,350.0,180.0,76,73,,1,4499.0,21.225
12.2,4,97.0,71.0,78,76,,2,1825.0,30.110000000000003
21.9,4,120.0,88.0,81,76,,2,3270.0,25.55
19.5,4,68.0,49.0,85,73,,2,1867.0,27.75
19.5,4,120.0,87.0,89,72,,2,2979.0,25.55
17.6,4,91.0,68.0,90,82,,3,1970.0,28.53333333333333
14.7,4,105.0,63.0,92,82,,1,2125.0,25.315384615384612
16.5,6,198.0,95.0,96,74,,1,3102.0,25.315384615384612
15.9,5,131.0,103.0,97,78,,2,2830.0,35.349999999999994
19.0,4,97.0,88.0,100,73,,3,2279.0,30.13076923076923
17.6,4,151.0,85.0,101,78,,1,2855.0,21.225
14.0,4,113.0,95.0,102,71,,3,2228.0,30.13076923076923
14.4,4,98.0,80.0,103,79,,1,1915.0,22.144444444444446
16.5,6,225.0,105.0,106,73,,1,3121.0,25.315384615384612
16.4,4,140.0,92.0,107,82,,1,2865.0,20.23
12.8,8,351.0,152.0,108,76,,1,4215.0,20.23
11.5,8,304.0,150.0,112,73,,1,3672.0,18.375
18.6,4,79.0,58.0,113,77,,2,1825.0,33.800000000000004
12.5,8,304.0,150.0,114,72,,1,3892.0,18.375
19.0,8,260.0,110.0,116,77,,1,4060.0,21.225
11.5,8,304.0,150.0,120,72,,1,3672.0,18.375
16.0,4,97.0,75.0,122,75,,3,2171.0,30.13076923076923
18.6,4,120.0,79.0,124,82,,1,2625.0,20.23
10.5,8,302.0,140.0,126,70,,1,3449.0,20.23
17.3,4,140.0,88.0,132,79,,1,2890.0,20.23
14.5,8,318.0,150.0,133,73,,1,4237.0,25.315384615384612
16.0,4,91.0,68.0,134,81,,3,1985.0,28.53333333333333
15.6,4,140.0,86.0,135,82,,1,2790.0,20.23
21.0,6,250.0,78.0,136,76,,1,3574.0,20.23
9.5,8,400.0,150.0,137,70,,1,3761.0,20.28148148148148
17.0,6,200.0,,138,74,,1,2875.0,20.23
12.5,3,70.0,100.0,140,80,,3,2420.0,28.53333333333333
16.8,4,108.0,75.0,141,81,,3,2350.0,30.13076923076923
14.0,8,360.0,215.0,142,70,,1,4615.0,20.23
14.7,4,91.0,69.0,144,79,,2,2130.0,27.75
13.5,3,70.0,90.0,145,73,,3,2124.0,
16.5,6,250.0,88.0,146,73,,1,3021.0,20.23
13.0,8,350.0,145.0,150,73,,1,3988.0,20.28148148148148
9.5,8,400.0,230.0,153,73,,1,4278.0,23.1
15.0,8,267.0,125.0,154,79,,1,3605.0,20.28148148148148
16.4,4,97.0,67.0,155,77,,3,1985.0,29.9
15.2,4,86.0,65.0,156,79,,3,1975.0,
16.7,4,156.0,105.0,158,78,,1,2745.0,25.315384615384612
11.3,6,173.0,115.0,159,79,,1,2595.0,20.28148148148148
16.5,4,122.0,80.0,162,74,,1,2451.0,20.23
16.2,4,91.0,67.0,164,82,,3,1995.0,30.571428571428573
17.7,6,225.0,100.0,167,77,,1,3630.0,25.315384615384612
17.4,8,350.0,125.0,168,79,,1,3900.0,
13.0,8,318.0,150.0,170,71,,1,4096.0,25.315384615384612
14.0,8,307.0,130.0,171,72,,1,4098.0,20.28148148148148
13.5,4,121.0,115.0,173,75,,2,2671.0,24.5
19.6,4,112.0,88.0,175,82,,1,2605.0,20.28148148148148
14.5,8,318.0,150.0,176,75,,1,4498.0,25.315384615384612
14.5,4,121.0,98.0,179,75,,2,2945.0,18.5
15.5,6,250.0,88.0,181,71,,1,3302.0,20.23
11.5,8,400.0,170.0,186,75,,1,4668.0,23.1
14.5,4,107.0,75.0,190,82,,3,2205.0,33.06666666666666
17.0,4,97.5,80.0,191,72,,1,2126.0,22.144444444444446
11.5,8,429.0,198.0,194,73,,1,4952.0,19.216666666666665
16.5,4,108.0,94.0,196,73,,3,2379.0,30.571428571428573
22.2,4,85.0,52.0,198,76,,1,2035.0,20.28148148148148
15.0,4,98.0,80.0,199,72,,1,2164.0,22.144444444444446
16.4,6,250.0,110.0,200,77,,1,3520.0,20.28148148148148
18.0,6,258.0,110.0,206,74,,1,3632.0,18.375
15.0,4,113.0,95.0,210,70,,3,2372.0,30.13076923076923
16.5,4,98.0,68.0,212,78,,1,2155.0,20.28148148148148
18.2,6,232.0,90.0,214,79,,1,3265.0,18.375
13.0,8,305.0,140.0,215,76,,1,4215.0,20.28148148148148
15.5,6,225.0,105.0,216,71,,1,3439.0,25.315384615384612
15.0,6,250.0,100.0,218,71,,1,3282.0,23.1
13.0,8,351.0,153.0,219,72,,1,4129.0,20.23
16.5,4,122.0,86.0,220,72,,1,2226.0,20.23
14.3,4,140.0,,221,80,,1,2905.0,20.23
16.5,4,98.0,83.0,223,74,,2,2219.0,35.349999999999994
11.0,8,429.0,208.0,224,72,,1,4633.0,19.216666666666665
21.0,4,97.0,46.0,225,73,,2,1950.0,30.110000000000003
14.5,8,302.0,137.0,229,73,,1,4042.0,20.23
14.0,8,350.0,145.0,230,75,,1,4440.0,20.28148148148148
19.2,6,231.0,105.0,231,78,,1,3535.0,23.1
15.5,8,260.0,110.0,232,78,,1,3365.0,21.225
18.2,4,91.0,68.0,233,82,,3,2025.0,28.53333333333333
12.2,8,400.0,190.0,235,77,,1,4325.0,
14.3,8,351.0,142.0,236,79,,1,4054.0,20.23
15.8,6,200.0,85.0,238,78,,1,2965.0,20.23
13.0,8,360.0,150.0,241,79,,1,3940.0,
19.5,6,250.0,72.0,245,75,,1,3158.0,20.23
15.7,4,130.0,102.0,246,76,,2,3150.0,18.5
17.6,6,200.0,81.0,250,76,,1,3012.0,20.23
12.0,8,350.0,145.0,253,76,,1,4055.0,20.5
17.8,4,97.0,67.0,254,81,,3,2065.0,29.9
14.4,4,98.0,66.0,259,78,,1,1800.0,20.23
17.0,4,107.0,72.0,260,80,,3,2290.0,33.06666666666666
18.0,4,121.0,76.0,261,72,,2,2511.0,30.110000000000003
13.2,8,305.0,145.0,263,78,,1,3425.0,20.28148148148148
11.5,8,350.0,165.0,269,70,,1,3693.0,20.6375
16.6,6,225.0,85.0,271,81,,1,3465.0,
13.6,6,163.0,125.0,274,78,,2,3140.0,18.5
24.8,4,141.0,71.0,280,79,,2,3190.0,25.55
14.5,4,120.0,88.0,281,82,,3,2160.0,
20.1,4,151.0,90.0,282,80,,1,3003.0,18.375
16.4,4,97.0,75.0,284,76,,3,2155.0,30.13076923076923
13.0,8,360.0,170.0,286,73,,1,4654.0,25.315384615384612
14.5,4,156.0,92.0,287,82,,1,2585.0,
8.0,8,340.0,160.0,289,70,,1,3609.0,25.315384615384612
14.5,8,350.0,150.0,293,74,,1,4699.0,20.6375
14.5,4,97.0,88.0,294,71,,3,2130.0,30.571428571428573
17.2,6,225.0,100.0,295,78,,1,3430.0,25.315384615384612
15.9,4,98.0,83.0,296,77,,1,2075.0,22.144444444444446
14.0,4,116.0,75.0,298,74,,2,2246.0,27.75
17.0,6,250.0,100.0,299,74,,1,3336.0,20.28148148148148
18.2,6,200.0,95.0,302,78,,1,3155.0,20.28148148148148
10.0,8,455.0,225.0,303,70,,1,3086.0,20.6375
17.0,4,119.0,97.0,304,75,,3,2545.0,30.571428571428573
12.9,6,173.0,115.0,308,79,,1,2700.0,21.225
17.1,6,200.0,88.0,309,81,,1,3060.0,20.23
19.5,4,79.0,70.0,310,71,,2,2074.0,25.55
12.1,8,350.0,180.0,312,76,,1,4380.0,
17.5,4,91.0,53.0,317,75,,3,1795.0,33.06666666666666
13.9,8,304.0,120.0,319,76,,1,3962.0,18.375
12.5,8,400.0,167.0,320,73,,1,4906.0,20.23
15.7,4,91.0,67.0,322,82,,3,1965.0,33.06666666666666
16.0,6,200.0,85.0,324,70,,1,2587.0,20.23
17.4,4,91.0,53.0,326,76,,3,1795.0,33.06666666666666
14.8,4,134.0,95.0,327,78,,3,2515.0,30.13076923076923
11.0,8,455.0,225.0,328,73,,1,4951.0,20.6375
16.5,6,225.0,105.0,330,74,,1,3613.0,25.315384615384612
21.0,6,250.0,72.0,331,75,,1,3432.0,19.216666666666665
17.0,4,140.0,75.0,332,74,,1,2542.0,20.28148148148148
14.5,6,171.0,97.0,334,75,,1,2984.0,20.23
10.0,8,455.0,225.0,341,70,,1,4425.0,23.1
13.5,8,318.0,210.0,342,70,,1,4382.0,22.144444444444446
17.9,4,86.0,65.0,346,80,,3,2110.0,28.53333333333333
17.6,6,232.0,90.0,347,76,,1,3085.0,18.375
11.0,8,318.0,150.0,348,70,,1,3436.0,25.315384615384612
15.7,4,121.0,115.0,350,78,,2,2795.0,24.5
14.2,4,134.0,95.0,352,78,,3,2560.0,30.13076923076923
16.2,6,250.0,110.0,356,76,,1,3645.0,23.1
15.3,4,101.0,83.0,357,76,,2,2202.0,33.800000000000004
18.3,4,120.0,74.0,358,81,,3,2635.0,28.53333333333333
13.0,8,350.0,175.0,361,73,,1,4100.0,20.6375
12.0,8,302.0,129.0,362,75,,1,3169.0,20.23
15.8,6,163.0,133.0,363,78,,2,3410.0,25.55
17.0,4,85.0,70.0,365,76,,3,1990.0,30.571428571428573
13.0,8,351.0,158.0,369,73,,1,4363.0,20.23
15.0,4,115.0,95.0,371,75,,2,2694.0,35.349999999999994
13.5,8,318.0,150.0,372,74,,1,4457.0,22.144444444444446
17.3,4,98.0,70.0,374,82,,1,2125.0,19.216666666666665
19.0,8,350.0,105.0,376,81,,1,3725.0,21.225
13.5,3,70.0,97.0,378,72,,3,2330.0,28.53333333333333
14.0,6,155.0,107.0,379,73,,1,2472.0,19.216666666666665
16.4,4,86.0,65.0,386,80,,3,2019.0,30.571428571428573
12.6,6,168.0,116.0,388,81,,3,2900.0,30.13076923076923
19.0,6,225.0,95.0,389,75,,1,3785.0,25.315384615384612
15.5,4,107.0,86.0,390,76,,2,2464.0,27.75
14.0,4,114.0,91.0,391,73,,2,2582.0,35.349999999999994
14.4,4,156.0,105.0,392,80,,1,2800.0,22.144444444444446
14.8,4,111.0,80.0,393,77,,1,2155.0,20.6375
11.1,8,400.0,180.0,394,77,,1,4220.0,23.1
14.5,4,97.0,78.0,397,77,,2,1940.0,30.110000000000003
